 ID │ State    │ Lvl │ Version               │ Name                                                                                                                                                                                                                                                                                           [165/197]
151 │ Active   │  80 │ 3.2.2                 │ Apache Commons Collections
152 │ Active   │  80 │ 1.10.0                │ Apache Commons Configuration
153 │ Active   │  80 │ 2.6.0                 │ Apache Commons IO
154 │ Active   │  80 │ 1.3                   │ Commons JXPath
155 │ Active   │  80 │ 2.6                   │ Commons Lang
156 │ Active   │  80 │ 3.7.0                 │ Apache Commons Lang
157 │ Active   │  80 │ 3.6.1                 │ Apache Commons Math
158 │ Active   │  80 │ 1.6.0                 │ Commons Pool
159 │ Active   │  80 │ 1.3.0                 │ Apache Commons Text
160 │ Active   │  30 │ 2.9.0                 │ Apache ServiceMix :: Specs :: Activation API 1.4
161 │ Active   │  80 │ 3.10.5.Final          │ Netty
162 │ Active   │  80 │ 1.6.5.01              │ Hyperic Sigar OSGi bundle
163 │ Active   │  80 │ 1.0.9                 │ mapdb
164 │ Active   │  80 │ 5.2                   │ ASM
165 │ Active   │  80 │ 2.6.0                 │ Objenesis
166 │ Active   │  80 │ 1.1.0.201802012106    │ org.osgi:org.osgi.util.function
167 │ Active   │  80 │ 1.1.1.201810101357    │ org.osgi:org.osgi.util.promise
168 │ Active   │  80 │ 3.22.0.GA             │ Javassist
169 │ Active   │  30 │ 1.3                   │ javax.annotation API
170 │ Active   │  80 │ 2.0.1.Final           │ Bean Validation API
171 │ Active   │  80 │ 2.1                   │ javax.ws.rs-api
172 │ Active   │  80 │ 2.5.0.b42             │ HK2 API module
173 │ Active   │  80 │ 2.5.0.b42             │ aopalliance version 1.0 repackaged as a module
174 │ Active   │  80 │ 2.5.0.b42             │ javax.inject:1 as OSGi bundle
175 │ Active   │  80 │ 2.5.0.b42             │ ServiceLocator Default Implementation
176 │ Active   │  80 │ 1.0.1                 │ OSGi resource locator bundle - used by various API providers that rely on META-INF/services mechanism to locate providers.
177 │ Active   │  80 │ 2.5.0.b42             │ HK2 Implementation Utilities
